Name,Percentage,Average Graph Count,Standard Deviation
Scaffold-1,0.05,39.44,5.41289145830525
Scaffold-1,0.1,95.66,9.190706768746946
Scaffold-1,0.15,165.02,10.099484935361602
Scaffold-1,0.2,245.6,12.295190814774578
Scaffold-1,0.25,328.88,11.849459775436895
Scaffold-1,0.3,416.84,12.616103225880035
Scaffold-1,0.35,512.97,13.582114650666089
Scaffold-1,0.4,609.9,14.314293202913998
Scaffold-1,0.45,723.7,12.970440363855163
Scaffold-1,0.5,841.13,13.308047994132776
Scaffold-1,0.55,959.7,11.61286294841138
Scaffold-1,0.6,1076.83,13.24062847542527
Scaffold-2,0.05,1.2,0.4714045207910317
Scaffold-2,0.1,3.0,1.3926212476455828
Scaffold-2,0.15,8.95,2.750114781810263
Scaffold-2,0.2,22.92,4.282168807621869
Scaffold-2,0.25,49.5,7.0760657904450746
Scaffold-2,0.3,95.59,8.075521060838144
Scaffold-2,0.35,165.68,12.067888771195207
Scaffold-2,0.4,257.51,10.857660331709951
Scaffold-2,0.45,371.27,11.314471827145654
Scaffold-2,0.5,501.38,14.546185587689823
Scaffold-2,0.55,636.9,13.531482184188476
Scaffold-2,0.6,768.6,14.395566096278507
Scaffold-3,0.05,12.09,3.1689624851555487
Scaffold-3,0.1,50.64,6.072824048100844
Scaffold-3,0.15,127.21,8.539031005040941
Scaffold-3,0.2,256.0,10.938764356935643
Scaffold-3,0.25,431.29,12.31103225369486
Scaffold-3,0.3,616.85,11.620579967793294
Scaffold-3,0.35,806.01,12.973551183196923
Scaffold-3,0.4,989.2,13.170981264687438
Scaffold-3,0.45,1159.07,13.640592273642579
Scaffold-3,0.5,1321.41,14.55542871407452
Scaffold-3,0.55,1464.38,12.313070988657426
Scaffold-3,0.6,1595.18,13.30404358672865
