Graph Root,Average Size,Standard Deviation,Name,Percentage
1,1424.26,323.6895451140825,Scaffold-1,0.05
9,2.0,0.0,Scaffold-1,0.05
35,1.0,0.0,Scaffold-1,0.05
50,1.8333333333333333,0.408248290463863,Scaffold-1,0.05
132,2.0,0.0,Scaffold-1,0.05
149,1.0,0.0,Scaffold-1,0.05
156,1.0,0.0,Scaffold-1,0.05
162,1.0,0.0,Scaffold-1,0.05
172,1.0,0.0,Scaffold-1,0.05
195,1.0,0.0,Scaffold-1,0.05
215,1.0,0.0,Scaffold-1,0.05
230,1.8461538461538463,0.37553380809940534,Scaffold-1,0.05
333,1.25,0.5,Scaffold-1,0.05
337,2.25,0.9574271077563381,Scaffold-1,0.05
509,1.0,0.0,Scaffold-1,0.05
701,11.0,,Scaffold-1,0.05
802,2.0,0.0,Scaffold-1,0.05
819,2.5,0.7071067811865476,Scaffold-1,0.05
841,1.0,,Scaffold-1,0.05
881,3.0,1.348399724926484,Scaffold-1,0.05
1010,2.0,0.0,Scaffold-1,0.05
1245,1.0,0.0,Scaffold-1,0.05
1250,2.7142857142857144,0.6112498455021267,Scaffold-1,0.05
1251,1.0,0.0,Scaffold-1,0.05
1284,1.0,0.0,Scaffold-1,0.05
1408,2.0,,Scaffold-1,0.05
1478,1.2,0.4472135954999579,Scaffold-1,0.05
1559,1.0,0.0,Scaffold-1,0.05
1578,1.0,0.0,Scaffold-1,0.05
1589,2.4545454545454546,0.8201995322647243,Scaffold-1,0.05
1623,1.0,0.0,Scaffold-1,0.05
1638,1.9090909090909092,0.30151134457776363,Scaffold-1,0.05
28,1.75,0.45226701686664544,Scaffold-1,0.05
38,1.0,0.0,Scaffold-1,0.05
74,1.0,0.0,Scaffold-1,0.05
80,2.0,0.0,Scaffold-1,0.05
86,1.8571428571428572,0.37796447300922725,Scaffold-1,0.05
94,1.0,0.0,Scaffold-1,0.05
112,2.0,0.0,Scaffold-1,0.05
174,2.0,0.0,Scaffold-1,0.05
220,2.0,0.0,Scaffold-1,0.05
223,2.0,0.0,Scaffold-1,0.05
233,2.0,0.0,Scaffold-1,0.05
445,1.0,,Scaffold-1,0.05
526,2.6666666666666665,0.7784989441615229,Scaffold-1,0.05
587,2.0,1.0,Scaffold-1,0.05
654,1.0,0.0,Scaffold-1,0.05
692,2.4615384615384617,0.8770580193070292,Scaffold-1,0.05
698,1.8,0.42163702135578396,Scaffold-1,0.05
707,1.0,0.0,Scaffold-1,0.05
711,1.9230769230769231,0.2773500981126146,Scaffold-1,0.05
772,2.0,1.4142135623730951,Scaffold-1,0.05
792,1.0,0.0,Scaffold-1,0.05
814,1.0,0.0,Scaffold-1,0.05
837,2.0,,Scaffold-1,0.05
845,3.0,0.0,Scaffold-1,0.05
847,3.8333333333333335,0.5773502691896257,Scaffold-1,0.05
903,1.75,0.45226701686664544,Scaffold-1,0.05
937,1.0,0.0,Scaffold-1,0.05
941,2.769230769230769,0.5991446895152781,Scaffold-1,0.05
997,1.0,0.0,Scaffold-1,0.05
1050,1.0,0.0,Scaffold-1,0.05
1053,1.9333333333333333,0.25819888974716115,Scaffold-1,0.05
1076,2.5714285714285716,0.8516306272526403,Scaffold-1,0.05
1180,1.8666666666666667,0.35186577527449836,Scaffold-1,0.05
1190,1.9166666666666667,0.28867513459481287,Scaffold-1,0.05
1312,1.0,0.0,Scaffold-1,0.05
1350,1.8333333333333333,0.983192080250175,Scaffold-1,0.05
1412,1.8823529411764706,0.3321055820775357,Scaffold-1,0.05
1422,1.0,0.0,Scaffold-1,0.05
1439,1.0,0.0,Scaffold-1,0.05
1443,2.25,0.5,Scaffold-1,0.05
1511,1.0,0.0,Scaffold-1,0.05
1554,3.090909090909091,1.300349603340998,Scaffold-1,0.05
1564,1.9,0.31622776601683794,Scaffold-1,0.05
1579,1.0,0.0,Scaffold-1,0.05
1612,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
6,2.0,0.0,Scaffold-1,0.05
15,1.7857142857142858,0.42581531362632,Scaffold-1,0.05
19,1.0,0.0,Scaffold-1,0.05
34,1.75,0.4629100498862757,Scaffold-1,0.05
42,1.0,0.0,Scaffold-1,0.05
51,1.0,0.0,Scaffold-1,0.05
71,1.0,0.0,Scaffold-1,0.05
96,1.9166666666666667,0.28867513459481287,Scaffold-1,0.05
97,1.0,0.0,Scaffold-1,0.05
129,1.8823529411764706,0.3321055820775357,Scaffold-1,0.05
133,1.0,0.0,Scaffold-1,0.05
135,2.0,0.0,Scaffold-1,0.05
161,2.0,0.0,Scaffold-1,0.05
168,1.875,0.3535533905932738,Scaffold-1,0.05
191,1.7272727272727273,0.46709936649691375,Scaffold-1,0.05
208,1.0,0.0,Scaffold-1,0.05
355,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
398,1.0,0.0,Scaffold-1,0.05
502,2.25,0.9574271077563381,Scaffold-1,0.05
516,1.5,0.7071067811865476,Scaffold-1,0.05
643,1.0,0.0,Scaffold-1,0.05
729,2.7,0.6749485577105528,Scaffold-1,0.05
737,1.0,0.0,Scaffold-1,0.05
860,3.230769230769231,1.2351684199496948,Scaffold-1,0.05
873,1.0,,Scaffold-1,0.05
910,1.8571428571428572,0.37796447300922725,Scaffold-1,0.05
1025,3.0,,Scaffold-1,0.05
1055,1.0,,Scaffold-1,0.05
1063,1.9230769230769231,0.2773500981126146,Scaffold-1,0.05
1098,1.8571428571428572,0.3631365196012815,Scaffold-1,0.05
1155,1.0,0.0,Scaffold-1,0.05
1174,2.0,1.4142135623730951,Scaffold-1,0.05
1189,1.0,0.0,Scaffold-1,0.05
1201,1.0,0.0,Scaffold-1,0.05
1216,2.0,0.0,Scaffold-1,0.05
1403,1.0,0.0,Scaffold-1,0.05
1436,2.5,0.7071067811865476,Scaffold-1,0.05
1587,1.0,0.0,Scaffold-1,0.05
1590,1.0,,Scaffold-1,0.05
1598,1.0,0.0,Scaffold-1,0.05
1618,1.0,0.0,Scaffold-1,0.05
1630,3.3,1.1595018087284057,Scaffold-1,0.05
1654,1.0,0.0,Scaffold-1,0.05
48,1.0,0.0,Scaffold-1,0.05
87,1.0,0.0,Scaffold-1,0.05
